1220 - ancient - 60
1221 - squeaked - 60
1222 - floating - 60
1223 - george’s - 60
1224 - wildly - 60
1225 - frozen - 60
1226 - stars - 60
1227 - orders - 60
1228 - difference - 60
1229 - clearing - 60
1230 - house-elves - 60
1231 - grawp - 60
1232 - terror - 59
1233 - spiders - 59
1234 - station - 59
1235 - learn - 59
1236 - marge - 59
1237 - clutched - 59
1238 - striding - 59
1239 - whenever - 59
1240 - vault - 59
1241 - gigantic - 59
1242 - oddly - 59
1243 - rolling - 59
1244 - staying - 59
1245 - grave - 59
1246 - carriage - 59
1247 - whistle - 59
1248 - ignoring - 59
1249 - taught - 59
1250 - convinced - 59
1251 - simple - 59
1252 - shout - 59
1253 - keeper - 59
1254 - saturday - 59
1255 - dreams - 59
1256 - statue - 59
1257 - dirty - 59
1258 - dancing - 59
1259 - remus - 59
1260 - gently - 59
1261 - morfin - 59
1262 - grindelwald - 59
1263 - mentioned - 58
1264 - discovered - 58
1265 - handle - 58
1266 - surrounded - 58
1267 - center - 58
1268 - eating - 58
1269 - sprinted - 58
1270 - square - 58
1271 - speed - 58
1272 - diagon - 58
1273 - private - 58
1274 - plenty - 58
1275 - cause - 58
1276 - powers - 58
1277 - ginny’s - 58
1278 - deeper - 58
1279 - disappointed - 58
1280 - brave - 58
1281 - becoming - 58
1282 - considered - 58
1283 - reminded - 58
1284 - slight - 58
1285 - viktor - 58
1286 - crept - 57
1287 - answered - 57
1288 - curses - 57
1289 - badge - 57
1290 - special - 57
1291 - crystal - 57
1292 - planning - 57
1293 - brothers - 57
1294 - obvious - 57
1295 - seeker - 57
1296 - fought - 57
1297 - applause - 57
1298 - pansy - 57
1299 - breathed - 57
1300 - zoomed - 57
1301 - circle - 57
1302 - message - 57
1303 - mungo’s - 57
1304 - surrounding - 57
1305 - struggled - 57
1306 - killing - 56
1307 - entirely - 56
1308 - tongue - 56
1309 - including - 56
1310 - contents - 56
1311 - straightened - 56
1312 - bowed - 56
1313 - closing - 56
1314 - stuffed - 56
1315 - man’s - 56
1316 - farther - 56
1317 - croaked - 56
1318 - fully - 56
1319 - hippogriff - 56
1320 - backed - 56
1321 - brooms - 56
1322 - sparks - 56
1323 - advanced - 56
1324 - upset - 56
1325 - folded - 56
1326 - beauxbatons - 56
1327 - fawkes - 56
1328 - newspaper - 55
1329 - scrambled - 55
1330 - struck - 55
1331 - state - 55
1332 - refused - 55
1333 - traveling - 55
1334 - interrupted - 55
1335 - dreadful - 55
1336 - glared - 55
1337 - cracked - 55
1338 - norris - 55
1339 - memories - 55
1340 - marks - 55
1341 - godric’s - 55
1342 - relieved - 54
1343 - country - 54
1344 - bitterly - 54
1345 - thoroughly - 54
1346 - sleeve - 54
1347 - stare - 54
1348 - curious - 54
1349 - shrugged - 54
1350 - bringing - 54
1351 - ended - 54
1352 - spiral - 54
1353 - silently - 54
1354 - vaguely - 54
1355 - imagined - 54
1356 - temper - 54
1357 - eight - 54
1358 - sunlight - 54
1359 - peter - 54
1360 - evidence - 54
1361 - moaning - 54
1362 - evidently - 54
1363 - singing - 54
1364 - portraits - 54
1365 - nigellus - 54
1366 - effect - 53
1367 - admit - 53
1368 - dashed - 53
1369 - express - 53
1370 - monster - 53
1371 - fifth - 53
1372 - clapped - 53
1373 - pleasure - 53
1374 - bottles - 53
1375 - proud - 53
1376 - handing - 53
1377 - prepared - 53
1378 - battle - 53
1379 - picking - 53
1380 - crowded - 53
1381 - needs - 53
1382 - search - 53
1383 - mysteries - 53
1384 - mcgonagall’s - 53
1385 - impressed - 53
1386 - appear - 53
1387 - murder - 53
1388 - causing - 53
1389 - jordan - 53
1390 - exams - 53
1391 - object - 53
1392 - dropping - 52
1393 - gotten - 52
1394 - warned - 52
1395 - envelope - 52
1396 - photograph - 52
1397 - knocking - 52
1398 - rules - 52
1399 - one’s - 52
1400 - nowhere - 52
1401 - darkly - 52
1402 - rubbing - 52
1403 - spectacles - 52
1404 - muffled - 52
1405 - faint - 52
1406 - staggered - 52
1407 - alicia - 52
1408 - whispering - 52
1409 - tunnel - 52
1410 - centaurs - 52
1411 - toilet - 52
1412 - pretend - 51
1413 - enjoying - 51
1414 - wrapped - 51
1415 - comes - 51
1416 - families - 51
1417 - wiping - 51
1418 - older - 51
1419 - massive - 51
1420 - trace - 51
